"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","10uF","","","","custom_footprints:CAP_EEFSX0D221ER","~"
"C2","1","0.1uF","","","","Capacitor_SMD:C_0603_1608Metric","~"
"IC1","1","MCP23017E_SS","","","","custom_footprints:SSOP28",""
"J1","1","1718560004","","","","custom_footprints:CONN04_1718560004_MOL",""
"R1","1","10K","","","","Resistor_SMD:R_0603_1608Metric","~"
"SW1","1","BackRest_Up","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW2","1","Knee-Up","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW3","1","Fowler_On","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW4","1","Bed_Up","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW5","1","BackRest_Down","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW6","1","Knee_Down","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW7","1","Fowler_Off","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW8","1","Bed_Down","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW9","1","Trendelenburg","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW10","1","R_Trendelenburg","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW11","1","Patient_Lockout","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW12","1","E_Stop","","","","Button_Switch_THT:SW_PUSH_6mm","~"
